kdgd;kdbr;nmbr;juml;hrga;ttal;ordr;kdmr;kdgl;kdkm
;;;0;0;0;0;;;
CA3;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW1;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW3;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW4;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
GUDANG;00AVI-BM;#TINTER AVIAN 1000ML BM-BLACK MUT;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-BO;#TINTER AVIAN 1000ML BO-BLUE OCEAN;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-DB;#TINTER AVIAN 1000ML DB-DARK BROWN;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-GK;#TINTER AVIAN 1000ML GK-GREEN SPRING;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-HP;#TINTER AVIAN 1000ML HP-HOT PINK;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-OS;#TINTER AVIAN 1000ML OS-ORANGE GOLD;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-PT;#TINTER AVIAN 1000ML PT-PURPLE;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-RD;#TINTER AVIAN 1000ML RD-RED FIRE;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-RE;#TINTER AVIAN 1000ML RE-RED;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-RV;#TINTER AVIAN 1000ML RV-RED VIVID;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-WP;#TINTER AVIAN 1000ML WP-PURE WHITE;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-YD;#TINTER AVIAN 1000ML YD-YELLOW RED;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-YE;#TINTER AVIAN 1000ML YE-YELLOW;0;0;0;0;AVLL;TINTA;LT
CW5;00AVI-YK;#TINTER AVIAN 1000ML YK-YELLOW LIGHT;0;0;0;0;AVLL;TINTA;LT
CW1;00DNP-AN;#TINTER 1000ML DNP-HIGH PERFORMANCE YPEN;0;0;0;0;XXTDN;TINTA;LT
